項次,停車場名稱,經度(WGS84),緯度(WGS84)
1,捷運劍南路站轉乘停車場,121.5544513,25.0845396
2,捷運文德站轉乘停車場,121.584945,25.07845
3,捷運南港展覽館站轉乘停車場,121.618955,25.055478
4,捷運頂埔站轉乘停車場,121.4200616,24.958923
5,捷運永寧站轉乘停車場,121.43562,24.96565
6,捷運海山站轉乘停車場,121.449236,24.98695
7,捷運府中站轉乘停車場,121.458723,25.0082722
8,捷運木柵站轉乘停車場,121.5729636,24.9980966
9,捷運新店站轉乘停車場,121.5375396,24.95695
10,捷運南勢角站轉乘停車場,121.5084,24.9907
11,捷運蘆洲站轉乘停車場,121.465355,25.09095
12,捷運劍潭站轉乘停車場,121.524359,25.082545
13,捷運士林站轉乘停車場,121.52662,25.092702
14,捷運芝山站轉乘停車場,121.523085,25.101193
15,捷運石牌站轉乘停車場,121.51465,25.11601
16,捷運唭哩岸站轉乘停車場,121.50785,25.12065
17,捷運北投站轉乘停車場,121.4979,25.133
18,捷運新北投站轉乘停車場,121.5015201,25.1367813
19,捷運忠義站轉乘停車場,121.4721,25.1301
20,捷運紅樹林站轉乘停車場,121.45913,25.15377
21,捷運淡水站轉乘停車場,121.4454426,25.1676842
22,"內湖機廠（南港展覽館展期開放）",121.617759,25.061562
23,"木柵機廠（僅假日開放）",121.584417,25.00148
24,捷運江子翠站轉乘停車場,121.4725,25.0296
25,捷運大直站自行車停車區,121.546994,25.080405
26,捷運大直站自行車停車區,121.546742,25.079521
27,捷運西湖站自行車停車區,121.567119,25.082006
28,捷運西湖站機車停車區,121.567194,25.082008
29,捷運港墘站自行車停車區,121.575852,25.080123
30,捷運港墘站自行車停車區,121.575657,25.079975
31,捷運內湖站自行車停車區,121.594582,25.083432
32,捷運大湖公園站自行車停車區,121.602288,25.083962
33,捷運大湖公園站機車停車區,121.602181,25.083969
34,捷運葫洲站自行車停車區,121.606931,25.072621
35,捷運葫洲站機車停車區,121.608009,25.0725
36,捷運東湖站自行車停車區,121.611665,25.066978
37,捷運東湖站自行車停車區,121.61108,25.066137
38,捷運東湖站機車停車區,121.611032,25.065918
39,捷運南港軟體園區站自行車停車區,121.615686,25.060167
40,捷運南港軟體園區站自行車停車區,121.616372,25.05981
41,捷運動物園站自行車停車區,121.579784,24.99825
42,捷運動物園站自行車停車區,121.579286,24.997953
43,捷運板橋站自行車停車區,121.462135,25.014801
44,捷運板橋站自行車停車區,121.462494,25.013999
45,捷運板橋站自行車停車區,121.461995,25.013673
46,捷運板橋站機車停車區,121.462583,25.01438
47,捷運新埔站自行車停車區,121.467424,25.023371
48,捷運新埔站自行車停車區,121.468636,25.022963
49,捷運新埔站自行車停車區,121.468631,25.023215
50,捷運新埔站自行車停車區,121.468615,25.023855
51,捷運新埔站自行車停車區,121.468357,25.024066
52,捷運新埔站自行車停車區,121.467853,25.02219
53,捷運新埔站自行車停車區,121.468357,25.021835
